radio;mnc;lon;lat;created
3G;Claro;-78.48967;-0.151566;1358014188
3G;Claro;-78.490084;-0.146121;1358014233
3G;Claro;-78.488065;-0.147952;1358014478
3G;Claro;-78.486113;-0.145084;1358014840
2G;Claro;-78.489761352539;-0.14625549316406;1357996165
2G;Claro;-78.489761352539;-0.14625549316406;1357996679
3G;Claro;-78.482346;-0.143234;1358016612
2G;Claro;-78.488388;-0.148315;1357997404
3G;Claro;-78.484612;-0.154266;1358017442
3G;Claro;-78.488388061523;-0.14762878417969;1357999250
2G;Claro;-78.862587;-1.00389;1358019754
3G;Claro;-78.488388061523;-0.14762878417969;1358000020
2G;Claro;-79.909058;-2.181828;1358094882
3G;Claro;-79.899933;-2.171718;1358095702
2G;Claro;-79.902267;-2.172775;1358099414
2G;Claro;-80.832475;-1.607982;1358181570
2G;Claro;-80.815428;-1.539631;1358206446
3G;Claro;-79.959595;-3.260056;1358521491
3G;Claro;-79.960381;-3.259182;1358522822
3G;Claro;-79.961449;-3.264416;1358540428
3G;Claro;-79.95756;-3.261837;1358541053
3G;Claro;-79.958324;-3.260536;1358521479
3G;Claro;-79.959182739258;-3.2595062255859;1358521546
3G;Claro;-79.962341;-3.257584;1358522943
3G;Claro;-79.964676;-3.256302;1358522962
3G;Claro;-79.974804;-3.254356;1358542772
3G;Claro;-79.970169;-3.254471;1358531528
3G;Claro;-79.979095;-3.254013;1358523066
3G;Claro;-79.986115;-3.253479;1358525569
3G;Claro;-79.982071;-3.252869;1358523201
3G;Claro;-79.987981;-3.253501;1358529599
2G;Claro;-79.987686;-3.253326;1358543623
3G;Claro;-79.987679;-3.253212;1358527494
2G;Claro;-79.950079;-3.227752;1358551172
2G;Claro;-79.971542;-3.257675;1358551229
2G;Claro;-79.970718;-3.25209;1358551245
3G;Claro;-79.974913;-3.253514;1358551262
2G;Claro;-79.966834;-3.25519;1358551355
2G;Claro;-79.966638;-3.250874;1358551360
2G;Claro;-79.961952;-3.258927;1358551382
3G;Claro;-79.961055;-3.252765;1358531839
3G;Claro;-79.9539;-3.255289;1358535071
3G;Claro;-79.950613;-3.259836;1358553993
3G;Claro;-79.952591;-3.261429;1358535212
3G;Claro;-79.954605;-3.263718;1358550395
3G;Claro;-79.952626;-3.265354;1358550252
3G;Claro;-79.949875;-3.268814;1358556044
3G;Claro;-79.971542;-3.266573;1358565719
3G;Claro;-79.965668;-3.269272;1358566694
3G;Claro;-79.971542358398;-3.2663726806641;1358548036
3G;Claro;-79.962021;-3.273239;1358567989
3G;Claro;-79.94339;-3.271637;1358568635
3G;Claro;-79.938217;-3.276901;1358568752
3G;Claro;-79.93206;-3.279419;1358549201
