Name,longitude,latitude,Kapasiteet
Brahen puistikko,24.9481257001872,60.1896657985504,12
Fleminginkatu,24.952206700403,60.1895253157117,22
Gebhardinaukio,24.9550767908172,60.1911804709255,20
Mäkelänkatu,24.9633904702172,60.1896359907606,28
Vilhonvuorenkatu,24.967854123638,60.1864553029206,16
Lintulahdenkatu,24.962063375375,60.1836809119419,24
Näkinsilta,24.9554449266327,60.179750209022,24
Isoisänsilta,24.9817926053222,60.1826518123339,18
Arielinkatu,24.9797385551711,60.1859217406831,16
Kalasatama (M),24.977153892421,60.1875308427268,24
Teurastamo,24.9711566503401,60.1896945837642,30
Päijänteentie,24.9642238002852,60.1920575919922,14
Pernajantie,24.9579782365195,60.1942276026523,20
Teollisuuskatu,24.9487523997729,60.1934740103444,24
Elimäenkatu,24.9476290451587,60.1962195625714,24
Hollolantie,24.9546058093258,60.1958861886173,12
Paavalinpuisto,24.9614401060515,60.1974798068335,22
Haukilahdenkatu,24.9676238234156,60.1985338962222,26
Velodrominrinne,24.9441912064593,60.2010022969661,12
Sofianlehdonkatu,24.9513635992833,60.2032720921502,12
Arabia Shopping Center,24.9665718240118,60.2027696318957,30
Arabiankatu,24.9770790121958,60.2064915569171,22
Kaironkatu,24.9797040460124,60.2097104145027,16
Verkatehtaanpuisto,24.9797491905267,60.2136895158892,14
Intiankatu,24.9676246411057,60.207840227695,16
Koskelantie,24.946677279,60.207839984,14
Kuikkarinne,24.8694297861453,60.1570959878378,12
Käpyläntie,24.9588108000086,60.2139042918024,14
Pohjolankatu,24.9437964005667,60.2134209918355,12
Pohjolanaukio,24.9543597785941,60.2171787502601,16
Käpylä station,24.9479499152249,60.2208033078251,14
Juhana Herttuan tie,24.9664522586218,60.2185249019981,16
Toinen linja,24.9445685112105,60.1830009926511,22
Töölönlahden puisto,24.9350784201451,60.1748578219656,24
Eteläesplanadi,24.9471504600595,60.16719984563031,34
Leppäsuonaukio,24.9265784464228,60.1695846151592,28
Lehtisaarentie,24.8505039451831,60.1819482497591,12
West Terminal,24.9152135431213,60.1504730320499,24
Länsisatamankuja,24.9120898275496,60.1569514968019,14
Merihaka,24.9585285446676,60.1780749105533,16
Opastinsilta,24.9381525773313,60.1992657652357,40
A.I. Virtasen aukio,24.9620788508104,60.20554181684611,24
Ilmala Station,24.9222198886664,60.2066264297482,16
Ruskeasuo depot,24.8986678907757,60.2076799515229,14
Vanha Viertotie,24.8816602535719,60.2110752881999,16
Valimotie,24.8765290693421,60.2159693222985,24
Takomotie,24.8710464686467,60.2178996244041,14
Pajamäki,24.8556743832861,60.2188213176358,12
Haagan tori,24.898930057033,60.2121115807155,16
Tunnelitie,24.8995694064157,60.2166149334764,14
Huopalahti Station,24.8950577369046,60.2180961357994,20
Valimo Station,24.8758443985049,60.2223022514537,20
Pitäjänmäki Station,24.8586292857926,60.2243090934475,16
Jännetie,24.8535714902996,60.2267575847976,12
Marttila,24.8732133049419,60.2271498086552,16
Pohjois-Haaga Station,24.8830806372706,60.2300717042706,16
Näyttelijäntie,24.887547040742,60.2328640962858,16
Ida Aalbergin tie,24.8952023541771,60.2295326765972,18
Thalianaukio,24.8947958642764,60.2253423108921,14
Huovitie,24.9032866466572,60.2219755272546,12
Hämeenlinnanväylä,24.9028322456731,60.2274510674778,14
Vesakkotie,24.9266153826484,60.2279595153713,12
Maunula,24.9325030021006,60.2303828796011,16
Lepolantie,24.9286046557082,60.2390854029504,14
Kylävoudintie,24.9525612440734,60.2244037765729,14
Kustaankartano,24.9487651621964,60.23070286181449,20
Käskynhaltijantie,24.957934116941,60.2332319429452,18
Mäkitorpantie,24.9603356197765,60.2285300629765,18
Siltavoudintie,24.9649692401006,60.2337172192606,16
Oulunkylä Station,24.9667185624345,60.2291001546027,14
Kirkkoherrantie,24.9728193757834,60.2249303574235,10
Otto Brandtin tie,24.9781389181685,60.2317840575086,20
Katariina Saksilaisen katu,24.9844208812225,60.2172068185826,16
Hernepellontie,24.9886129703087,60.2242412608413,14
Aulangontie,24.9985804201601,60.2302596315427,16
